SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1111 Arlington Blvd #747,Arlington,VA,22209,162500,1,1,RIVER PLACE,383,,1955,24,424,374,Active,,,http://www.redfin.com/VA/Arlington/1111-Arlington-Blvd-22209/unit-747/home/11253170,BRIGHT MLS,VAAR165538,N,Y,38.8918969,-77.0700775
MLS Listing,,Single Family Residential,4925 Old Dominion Dr,Arlington,VA,22207,1500000,6,5.5,COUNTRY CLUB MANOR,4558,7314,2020,24,329,,Active,August-2-2020 02:00 PM,August-2-2020 04:00 PM,http://www.redfin.com/VA/Arlington/4925-Old-Dominion-Dr-22207/home/11229023,BRIGHT MLS,VAAR165660,N,Y,38.9103179,-77.138561
MLS Listing,,Condo/Co-op,3600 S Glebe Rd S Unit 428W,Arlington,VA,22202,499900,1,1,ECLIPSE ON CENTER PARK,871,,2006,24,574,398,Active,August-2-2020 12:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-428W/home/12042686,BRIGHT MLS,VAAR164042,N,Y,38.8421491,-77.0516341
MLS Listing,,Condo/Co-op,2100 Lee Hwy #411,Arlington,VA,22201,395000,1,1,ASTORIA CONDOMINIUM,721,,1987,24,548,534,Active,,,http://www.redfin.com/VA/Arlington/2100-Lee-Hwy-22201/unit-411/home/11249909,BRIGHT MLS,VAAR165656,N,Y,38.895834,-77.0823802
MLS Listing,,Single Family Residential,900 S Wakefield St,Arlington,VA,22204,1169000,4,3,BARCROFT,1806,6000,1961,25,647,,Active,,,http://www.redfin.com/VA/Arlington/900-S-Wakefield-St-22204/home/11261526,BRIGHT MLS,VAAR164990,N,Y,38.8590294,-77.1074577
MLS Listing,,Condo/Co-op,1320 N Wayne St #101,Arlington,VA,22201,449950,1,1,COURTHOUSE HILL,750,,1996,25,600,402,Active,,,http://www.redfin.com/VA/Arlington/1320-N-Wayne-St-22201/unit-101/home/11254494,BRIGHT MLS,VAAR165626,N,Y,38.8875445,-77.0864525
MLS Listing,,Condo/Co-op,1847 Wilson Blvd Unit 5-360,Arlington,VA,22201,299000,1,1,COLONIAL VILLAGE II,559,,1940,25,535,272,Active,,,http://www.redfin.com/VA/Arlington/1847-Wilson-Blvd-22201/unit-5-360/home/11250337,BRIGHT MLS,VAAR164556,N,Y,38.8944539,-77.0823136
MLS Listing,,Single Family Residential,1031 N Edgewood St,Arlington,VA,22201,2675000,6,5.5,CLARENDON,5080,6000,2021,25,527,,Active,,,http://www.redfin.com/VA/Arlington/1031-N-Edgewood-St-22201/home/11254923,BRIGHT MLS,VAAR165496,N,Y,38.8856534,-77.0916778
MLS Listing,,Condo/Co-op,1530 Key Blvd #304,Arlington,VA,22209,1075000,3,3,ATRIUM,2044,,1986,26,526,1389,Active,,,http://www.redfin.com/VA/Arlington/1530-Key-Blvd-22209/unit-304/home/11250403,BRIGHT MLS,VAAR165458,N,Y,38.8960821,-77.0760557
MLS Listing,,Single Family Residential,2271 N Upton St,Arlington,VA,22207,1725000,4,3.5,LEE HEIGHTS,3049,8049,1920,26,566,,Active,,,http://www.redfin.com/VA/Arlington/2271-N-Upton-St-22207/home/11232597,BRIGHT MLS,VAAR165518,N,Y,38.901065,-77.1171225
